question,pred_answer,true_answer,context_used,score,exact_match,f1,timestamp
How is information stored in a navigational system?,a single record,in a single record,"For instance, a common use of a database system is to track information about users, their name, login information, various addresses and phone numbers. In the navigational approach all of this data would be placed in a single record, and unused items would simply not be placed in the database. In the relational approach, the data would be normalized into a user table, an address table and a phone number table (for instance). Records would be created in these optional tables only if the address or phone numbers were actually provided.",0.3003726601600647,0,0.8,1759705995
Who wrote the famous poem about the Light Brigade? ,Alfred Lord Tennyson,Alfred Lord Tennyson,"Cardigan formed up his unit and charged the length of the Valley of the Balaclava, under fire from Russian batteries in the hills. The charge of the Light Brigade caused 278 casualties of the 700-man unit. The Light Brigade was memorialized in the famous poem by Alfred Lord Tennyson, ""The Charge of the Light Brigade."" Although traditionally the charge of the Light Brigade was looked upon as a glorious but wasted sacrifice of good men and horses, recent historians say that the charge of the Light Brigade did succeed in at least some of its objectives. The aim of any cavalry charge is to scatter the enemy lines and frighten the enemy off the battlefield. The charge of the Light Brigade had so unnerved the Russian cavalry, which had previously been routed by the Heavy Brigade, that the Russian Cavalry was set to full-scale flight by the subsequent charge of the Light Brigade.:252",0.9830285696079955,1,1.0,1759705996
How many people helped Queen set a 1976 attendance record?,"150,000","150,000","During 1976, Queen played one of their most famous gigs, a free concert in Hyde Park, London. A concert organised by the entrepreneur Richard Branson, it set an attendance record with 150,000 people confirmed in the audience. On 1 December 1976, Queen were the intended guests on London's early evening Today programme, but they pulled out at the last-minute, which saw their late replacement on the show, EMI labelmate the Sex Pistols, give their seminal interview. During the A Day at the Races Tour in 1977, Queen performed sold-out shows at Madison Square Garden, New York, in February, and Earls Court, London, in June.",0.917206346988678,1,1.0,1759705996
What is Louis Binford's profession?,Archaeologist,Archaeologist,"Archaeologist Louis Binford criticised the idea that early hominids and early humans were hunters. On the basis of the analysis of the skeletal remains of the consumed animals, he concluded that hominids and early humans were mostly scavengers, not hunters, and this idea is popular among some archaeologists and paleoanthropologists. Robert Blumenschine proposed the idea of confrontational scavenging, which involves challenging and scaring off other predators after they have made a kill, which he suggests could have been the leading method of obtaining protein-rich meat by early humans.",0.9405734465399291,1,1.0,1759705997
Who noticed that sleepiness increases and decreases in a 24 hour period?,Patrick and Gilbert,Patrick and Gilbert,"In 1896, Patrick and Gilbert observed that during a prolonged period of sleep deprivation, sleepiness increases and decreases with a period of approximately 24 hours. In 1918, J.S. Szymanski showed that animals are capable of maintaining 24-hour activity patterns in the absence of external cues such as light and changes in temperature. In the early 20th century, circadian rhythms were noticed in the rhythmic feeding times of bees. Extensive experiments were done by Auguste Forel, Ingeborg Beling, and Oskar Wahl to see whether this rhythm was due to an endogenous clock.[citation needed] Ron Konopka and Seymour Benzer isolated the first clock mutant in Drosophila in the early 1970s and mapped the ""period"" gene, the first discovered genetic determinant of behavioral rhythmicity. Joseph Takahashi discovered the first mammalian circadian clock mutation (clockΔ19) using mice in 1994. However, recent studies show that deletion of clock does not lead to a behavioral phenotype (the animals stil",0.9746032357215881,1,1.0,1759705998
Small circles of DNA that encode only a few genes and are transferable between individuals are called what?,plasmids,plasmids,"Prokaryotes (bacteria and archaea) typically store their genomes on a single large, circular chromosome. Similarly, some eukaryotic organelles contain a remnant circular chromosome with a small number of genes.:14.4 Prokaryotes sometimes supplement their chromosome with additional small circles of DNA called plasmids, which usually encode only a few genes and are transferable between individuals. For example, the genes for antibiotic resistance are usually encoded on bacterial plasmids and can be passed between individual cells, even those of different species, via horizontal gene transfer.",0.9913394335017074,1,1.0,1759705999
What nationality can tolerate the least amount of electric shock?,Italian,Italian,"Differences in pain perception and tolerance thresholds are associated with, among other factors, ethnicity, genetics, and sex. People of Mediterranean origin report as painful some radiant heat intensities that northern Europeans describe as nonpainful. And Italian women tolerate less intense electric shock than Jewish or Native American women. Some individuals in all cultures have significantly higher than normal pain perception and tolerance thresholds. For instance, patients who experience painless heart attacks have higher pain thresholds for electric shock, muscle cramp and heat.",0.8636192679405212,1,1.0,1759706000
What was Iran known as to the west?,Persia,Persia,"The use of the term Middle East as a region of international affairs apparently began in British and American diplomatic circles quite independently of each other over concern for the security of the same country: Iran, then known to the west as Persia. In 1900 Thomas Edward Gordon published an article, The Problem of the Middle East, which began:",0.9890698194503784,1,1.0,1759706001
What type of woods might sometimes appear to have darker earlywood on a finished surface?,ring-porous,ring-porous,"Since the latewood of a growth ring is usually darker in color than the earlywood, this fact may be used in judging the density, and therefore the hardness and strength of the material. This is particularly the case with coniferous woods. In ring-porous woods the vessels of the early wood not infrequently appear on a finished surface as darker than the denser latewood, though on cross sections of heartwood the reverse is commonly true. Except in the manner just stated the color of wood is no indication of strength.",0.5687893033027649,1,1.0,1759706002
Where is Sanskrit usually found?,Greater India,India,"Sanskrit (/ˈsænskrɪt/; Sanskrit: saṃskṛtam [səmskr̩t̪əm] or saṃskṛta, originally saṃskṛtā vāk, ""refined speech"") is the primary sacred language of Hinduism, a philosophical language in Buddhism, Hinduism, Sikhism and Jainism, and a literary language that was in use as a lingua franca in Greater India. It is a standardised dialect of Old Indo-Aryan, originating as Vedic Sanskrit and tracing its linguistic ancestry back to Proto-Indo-Iranian and Proto-Indo-European. Today it is listed as one of the 22 scheduled languages of India and is an official language of the state of Uttarakhand. As one of the oldest Indo-European languages for which substantial written documentation exists, Sanskrit holds a prominent position in Indo-European studies.",0.45008769631385803,0,0.6666666666666666,1759706002
Where was the Finnic Chud Tripe located curing this time period?,Ladoga and Karelia regions,Ladoga and Karelia regions,"Prior to the emergence of Kievan Rus' in the 9th century AD, the lands between the Baltic Sea and Black Sea were primarily populated by eastern Slavic tribes. In the northern region around Novgorod were the Ilmen Slavs and neighboring Krivichi, who occupied territories surrounding the headwaters of the West Dvina, Dnieper, and Volga Rivers. To their north, in the Ladoga and Karelia regions, were the Finnic Chud tribe. In the south, in the area around Kiev, were the Poliane, a group of Slavicized tribes with Iranian origins, the Drevliane to the west of the Dnieper, and the Severiane to the east. To their north and east were the Vyatichi, and to their south was forested land settled by Slav farmers, giving way to steppelands populated by nomadic herdsmen.",0.3421611189842224,1,1.0,1759706003
What offshoots of polychaetes are unsegmented?,echiurans and sipunculan,echiurans and sipunculan,"In addition to re-writing the classification of annelids and 3 previously independent phyla, the molecular phylogenetics analyses undermine the emphasis that decades of previous writings placed on the importance of segmentation in the classification of invertebrates. Polychaetes, which these analyses found to be the parent group, have completely segmented bodies, while polychaetes' echiurans and sipunculan offshoots are not segmented and pogonophores are segmented only in the rear parts of their bodies. It now seems that segmentation can appear and disappear much more easily in the course of evolution than was previously thought. The 2007 study also noted that the ladder-like nervous system, which is associated with segmentation, is less universal previously thought in both annelids and arthropods.[n 2]",0.457062273286283,1,1.0,1759706004
What catastrophe inspired them to make a building design code/ ,Tangshan earthquake,Tangshan earthquake,"Reginald DesRoches, a professor of civil and environmental engineering at Georgia Tech, pointed out that the massive damage of properties and houses in the earthquake area was because China did not create an adequate seismic design code until after the devastating 1976 Tangshan earthquake. DesRoches said: ""If the buildings were older and built prior to that 1976 earthquake, chances are they weren't built for adequate earthquake forces.""",0.1532462239265442,1,1.0,1759706004
In what way did Whitehead view God as deficient?,actuality and change,deficient in actuality and change,"Whitehead thus sees God and the world as fulfilling one another. He sees entities in the world as fluent and changing things that yearn for a permanence which only God can provide by taking them into God's self, thereafter changing God and affecting the rest of the universe throughout time. On the other hand, he sees God as permanent but as deficient in actuality and change: alone, God is merely eternally unrealized possibilities, and requires the world to actualize them. God gives creatures permanence, while the creatures give God actuality and change. Here it is worthwhile to quote Whitehead at length:",0.5462789535522461,0,0.7499999999999999,1759706005
What is generally the hottest month in Hyderabad?,May,May,"Hyderabad has a tropical wet and dry climate (Köppen Aw) bordering on a hot semi-arid climate (Köppen BSh). The annual mean temperature is 26.6 °C (79.9 °F); monthly mean temperatures are 21–33 °C (70–91 °F). Summers (March–June) are hot and humid, with average highs in the mid-to-high 30s Celsius; maximum temperatures often exceed 40 °C (104 °F) between April and June. The coolest temperatures occur in December and January, when the lowest temperature occasionally dips to 10 °C (50 °F). May is the hottest month, when daily temperatures range from 26 to 39 °C (79–102 °F); December, the coldest, has temperatures varying from 14.5 to 28 °C (57–82 °F).",0.9565010070800781,1,1.0,1759706007
How much of Alaskan state revenue comes from petroleum extraction?,more than 80%,80%,"The 2007 gross state product was $44.9 billion, 45th in the nation. Its per capita personal income for 2007 was $40,042, ranking 15th in the nation. According to a 2013 study by Phoenix Marketing International, Alaska had the fifth-largest number of millionaires per capita in the United States, with a ratio of 6.75 percent. The oil and gas industry dominates the Alaskan economy, with more than 80% of the state's revenues derived from petroleum extraction. Alaska's main export product (excluding oil and natural gas) is seafood, primarily salmon, cod, Pollock and crab.",0.6246134042739868,0,0.5,1759706008
Masons swear to protect their brethren unless they what?,broken the law,have broken the law,"The idea of Masonic brotherhood probably descends from a 16th-century legal definition of a brother as one who has taken an oath of mutual support to another. Accordingly, Masons swear at each degree to keep the contents of that degree secret, and to support and protect their brethren unless they have broken the law. In most Lodges the oath or obligation is taken on a Volume of Sacred Law, whichever book of divine revelation is appropriate to the religious beliefs of the individual brother (usually the Bible in the Anglo-American tradition). In Progressive continental Freemasonry, books other than scripture are permissible, a cause of rupture between Grand Lodges.",0.5007606148719788,0,0.8,1759706009
Which societal values had become world-wide by 1914?,Western society,Western,"All states have a geographic scope of interests, actions, or projected power. This is a crucial factor in distinguishing a great power from a regional power; by definition the scope of a regional power is restricted to its region. It has been suggested that a great power should be possessed of actual influence throughout the scope of the prevailing international system. Arnold J. Toynbee, for example, observes that ""Great power may be defined as a political force exerting an effect co-extensive with the widest range of the society in which it operates. The Great powers of 1914 were 'world-powers' because Western society had recently become 'world-wide'.""",0.4990866482257843,0,0.6666666666666666,1759706009
The energy used for metabolism of the brain in humans is what percentage?,20–25%.,20–25%,"Brain tissue consumes a large amount of energy in proportion to its volume, so large brains place severe metabolic demands on animals. The need to limit body weight in order, for example, to fly, has apparently led to selection for a reduction of brain size in some species, such as bats. Most of the brain's energy consumption goes into sustaining the electric charge (membrane potential) of neurons. Most vertebrate species devote between 2% and 8% of basal metabolism to the brain. In primates, however, the percentage is much higher—in humans it rises to 20–25%. The energy consumption of the brain does not vary greatly over time, but active regions of the cerebral cortex consume somewhat more energy than inactive regions; this forms the basis for the functional brain imaging methods PET, fMRI, and NIRS. The brain typically gets most of its energy from oxygen-dependent metabolism of glucose (i.e., blood sugar), but ketones provide a major alternative source, together with contributions fr",0.6150488257408142,1,1.0,1759706011
How much did MCA pay for Universal's 360-acre lot?,$11 million,$11 million,"By the late 1950s, the motion picture business was again changing. The combination of the studio/theater-chain break-up and the rise of television saw the reduced audience size for cinema productions. The Music Corporation of America (MCA), then predominately a talent agency, had also become a powerful television producer, renting space at Republic Studios for its Revue Productions subsidiary. After a period of complete shutdown, a moribund Universal agreed to sell its 360-acre (1.5 km²) studio lot to MCA in 1958, for $11 million, renamed Revue Studios. MCA owned the studio lot, but not Universal Pictures, yet was increasingly influential on Universal's product. The studio lot was upgraded and modernized, while MCA clients like Doris Day, Lana Turner, Cary Grant, and director Alfred Hitchcock were signed to Universal Pictures contracts.",0.7685472965240479,1,1.0,1759706012
What kind of ants are symbolic among the Australian Aborigines?,honey,honey ants,"Scarab beetles held religious and cultural symbolism in Old Egypt, Greece and some shamanistic Old World cultures. The ancient Chinese regarded cicadas as symbols of rebirth or immortality. In Mesopotamian literature, the epic poem of Gilgamesh has allusions to Odonata which signify the impossibility of immortality. Amongst the Aborigines of Australia of the Arrernte language groups, honey ants and witchety grubs served as personal clan totems. In the case of the 'San' bush-men of the Kalahari, it is the praying mantis which holds much cultural significance including creation and zen-like patience in waiting.:9",0.6431270241737366,0,0.6666666666666666,1759706013
What does the of toxin Clostridium tetani releases do?,paralyzes muscles,paralyzes muscles,"Disease can arise if the host's protective immune mechanisms are compromised and the organism inflicts damage on the host. Microorganisms can cause tissue damage by releasing a variety of toxins or destructive enzymes. For example, Clostridium tetani releases a toxin that paralyzes muscles, and staphylococcus releases toxins that produce shock and sepsis. Not all infectious agents cause disease in all hosts. For example, less than 5% of individuals infected with polio develop disease. On the other hand, some infectious agents are highly virulent. The prion causing mad cow disease and Creutzfeldt–Jakob disease invariably kills all animals and people that are infected.",0.7896952893352136,1,1.0,1759706014
Beyonce would take a break from music in which year?,2010,2010,"Beyoncé announced a hiatus from her music career in January 2010, heeding her mother's advice, ""to live life, to be inspired by things again"". During the break she and her father parted ways as business partners. Beyoncé's musical break lasted nine months and saw her visit multiple European cities, the Great Wall of China, the Egyptian pyramids, Australia, English music festivals and various museums and ballet performances.",0.9924787282943726,1,1.0,1759706015
Were the szlachta obscure and mysterious or obvious and proud.,obscurity and mystery,obscurity and mystery,"The origins of the szlachta are shrouded in obscurity and mystery and have been the subject of a variety of theories.:207 Traditionally, its members were owners of landed property, often in the form of ""manor farms"" or so-called folwarks. The nobility negotiated substantial and increasing political and legal privileges for itself throughout its entire history until the decline of the Polish Commonwealth in the late 18th century.",0.37597063183784485,1,1.0,1759706017
What doctor originally turned Donda West down for her plastic surgery operation?,Andre Aboolian,Andre Aboolian,"On November 10, 2007, at approximately 7:35 pm, paramedics responding to an emergency call transported West's mother, Donda West, to the nearby Centinela Freeman Hospital in Marina del Rey, California. She was unresponsive in the emergency room, and after resuscitation attempts, doctors pronounced her dead at approximately 8:30 pm, at age 58. The Los Angeles County coroner's office said in January 2008 that West had died of heart disease while suffering ""multiple post-operative factors"" after plastic surgery. She had undergone liposuction and breast reduction. Beverly Hills plastic surgeon Andre Aboolian had refused to do the surgery because West had a health condition that placed her at risk for a heart attack. Aboolian referred her to an internist to investigate her cardiac issue. She never met with the doctor recommended by Aboolian and had the procedures performed by a third doctor, Jan Adams.",0.9209150800816133,1,1.0,1759706017
"In Time New Roman the letter ""b"" would be consider which type of letter based on whether it is above or below average height?",ascenders,ascenders,"Typographically, the basic difference between the majuscules and minuscules is not that the majuscules are big and minuscules small, but that the majuscules generally have the same height. The height of the minuscules varies, as some of them have parts higher or lower than the average, i.e. ascenders and descenders. In Times New Roman, for instance, b, d, f, h, k, l, t  are the letters with ascenders, and g, j, p, q, y are the ones with descenders. Further to this, with old-style numerals still used by some traditional or classical fonts—although most do have a set of alternative Lining Figures— 6 and 8 make up the ascender set, and 3, 4, 5, 7 and 9 the descender set.",0.4406555645982735,1,1.0,1759706018
Which livestock is the major focus of Tennessee agriculture?,beef cattle,beef cattle,"Major outputs for the state include textiles, cotton, cattle, and electrical power. Tennessee has over 82,000 farms, roughly 59 percent of which accommodate beef cattle. Although cotton was an early crop in Tennessee, large-scale cultivation of the fiber did not begin until the 1820s with the opening of the land between the Tennessee and Mississippi Rivers. The upper wedge of the Mississippi Delta extends into southwestern Tennessee, and it was in this fertile section that cotton took hold. Soybeans are also heavily planted in West Tennessee, focusing on the northwest corner of the state.",0.5467599630355835,1,1.0,1759706020
What was the name of the house of the monarchs in power from 1714 and 1830?,House of Hanover,House of Hanover,"Georgian architecture is the name given in most English-speaking countries to the set of architectural styles current between 1714 and 1830. It is eponymous for the first four British monarchs of the House of Hanover—George I, George II, George III, and George IV—who reigned in continuous succession from August 1714 to June 1830. The style was revived in the late 19th century in the United States as Colonial Revival architecture and in the early 20th century in Great Britain as Neo-Georgian architecture; in both it is also called Georgian Revival architecture. In America the term ""Georgian"" is generally used to describe all building from the period, regardless of style; in Britain it is generally restricted to buildings that are ""architectural in intention"", and have stylistic characteristics that are typical of the period, though that covers a wide range.",0.6597384696615336,1,1.0,1759706021
What percentage of Estonia's foreign trade was held by Russia in 1992?,92%,92%,"In 2005, Estonia joined the European Union's Nordic Battle Group. It has also shown continued interest in joining the Nordic Council. Whereas in 1992 Russia accounted for 92% of Estonia's international trade, today there is extensive economic interdependence between Estonia and its Nordic neighbours: three quarters of foreign investment in Estonia originates in the Nordic countries (principally Finland and Sweden), to which Estonia sends 42% of its exports (as compared to 6.5% going to Russia, 8.8% to Latvia, and 4.7% to Lithuania). On the other hand, the Estonian political system, its flat rate of income tax, and its non-welfare-state model distinguish it from the Nordic countries and their Nordic model, and indeed from many other European countries.",0.9348904490470886,1,1.0,1759706022
What emotions did Cooley regard as of paramount social importance?,pride and shame,pride and shame,"In the 1990s, sociologists focused on different aspects of specific emotions and how these emotions were socially relevant. For Cooley (1992), pride and shame were the most important emotions that drive people to take various social actions. During every encounter, he proposed that we monitor ourselves through the ""looking glass"" that the gestures and reactions of others provide. Depending on these reactions, we either experience pride or shame and this results in particular paths of action. Retzinger (1991) conducted studies of married couples who experienced cycles of rage and shame. Drawing predominantly on Goffman and Cooley's work, Scheff (1990) developed a micro sociological theory of the social bond. The formation or disruption of social bonds is dependent on the emotions that people experience during interactions.",0.9877330660820007,1,1.0,1759706022
What group uses infinite field extensions with topology?,absolute Galois group,the absolute Galois group,"for any constant c. Matrix groups over these fields fall under this regime, as do adele rings and adelic algebraic groups, which are basic to number theory. Galois groups of infinite field extensions such as the absolute Galois group can also be equipped with a topology, the so-called Krull topology, which in turn is central to generalize the above sketched connection of fields and groups to infinite field extensions. An advanced generalization of this idea, adapted to the needs of algebraic geometry, is the étale fundamental group.",0.1934722661972046,1,1.0,1759706024
Who were the other judges to leave after this season?,Mariah Carey and Nicki Minaj,Mariah Carey and Nicki Minaj,"Towards the end of the season, Randy Jackson, the last remaining of the original judges, announced that he would no longer serve as a judge to pursue other business ventures. Both judges Mariah Carey and Nicki Minaj also decided to leave after one season to focus on their music careers.",0.955813100328669,1,1.0,1759706025
What novel concept was introduced at the end of the 20th century?,measured the strength of an individual's sexual desire,sustainability,"From at least the late nineteenth century in Europe, there was speculation that the range of human sexual response looked more like a continuum than two or three discrete categories. Berlin sexologist Magnus Hirschfeld published a scheme in 1896 that measured the strength of an individual's sexual desire on two independent 10-point scales, A (homosexual) and B (heterosexual). A heterosexual individual may be A0, B5; a homosexual individual may be A5, B0; an asexual would be A0, B0; and someone with an intense attraction to both sexes would be A9, B9.",0.012485811486840248,0,0.0,1759706026
What neighbours south Jiangsu to the north?,north Zhejiang,Zhejiang,"Since ancient times, north Zhejiang and neighbouring south Jiangsu have been famed for their prosperity and opulence[citation needed], and simply inserting north Zhejiang place names (Hangzhou, Jiaxing, etc.) into poetry gave an effect of dreaminess, a practice followed by many noted poets. In particular, the fame of Hangzhou (as well as Suzhou in neighbouring Jiangsu province) has led to the popular saying: ""Above there is heaven; below there is Suzhou and Hangzhou"" (上有天堂，下有苏杭), a saying that continues to be a source of pride for the people of these two still prosperous cities.",0.07790955901145935,0,0.6666666666666666,1759706027
The complete historical file of the digitized paper of The Times is online and published by what publisher?,Gage Cengage,Gage Cengage,"Though traditionally a moderate newspaper and sometimes a supporter of the Conservative Party, it supported the Labour Party in the 2001 and 2005 general elections. In 2004, according to MORI, the voting intentions of its readership were 40% for the Conservative Party, 29% for the Liberal Democrats, and 26% for Labour. The Times had an average daily circulation of 394,448 in March 2014; in the same period, The Sunday Times had an average daily circulation of 839,077. An American edition of The Times has been published since 6 June 2006. It has been heavily used by scholars and researchers because of its widespread availability in libraries and its detailed index. A complete historical file of the digitized paper is online from Gage Cengage publisher.",0.7422521472399239,1,1.0,1759706028
What kind of camera was used to broadcast live shows under the Baird system?,Farnsworth image dissector cameras,Farnsworth image dissector,"The two systems were to run on a trial basis for six months; early television sets supported both resolutions. However, the Baird system, which used a mechanical camera for filmed programming and Farnsworth image dissector cameras for live programming, proved too cumbersome and visually inferior, and ended with closedown (at 22:00) on Saturday 13 February 1937. ",0.5314651727676392,0,0.8571428571428571,1759706029
When was Two Stars for Peace published?,2003,2003,"Several websites assert that Israel is the 51st state due to the annual funding and defense support it receives from the United States. An example of this concept can be found in 2003 when Martine Rothblatt published a book called Two Stars for Peace that argued for the addition of Israel and the Palestinian territories surrounding it as the 51st state in the Union. The American State of Canaan, is a book published by Prof. Alfred de Grazia, political science and sociologist, in March 2009, proposing the creation of the 51st and 52nd states from Israel and the Palestinian territories.",0.9616325497627258,1,1.0,1759706030
The Church of England uses what term that is held by two senior members of the College of Minor Canons of St. Pauls Catherdral?,cardinal,tituli,"The term cardinal at one time applied to any priest permanently assigned or incardinated to a church, or specifically to the senior priest of an important church, based on the Latin cardo (hinge), meaning ""principal"" or ""chief"". The term was applied in this sense as early as the ninth century to the priests of the tituli (parishes) of the diocese of Rome. The Church of England retains an instance of this origin of the title, which is held by the two senior members of the College of Minor Canons of St Paul's Cathedral.",0.012923480942845345,0,0.0,1759706031
"The movie The Doors however did not film at New Haven, instead where did they film the reenactment? ",Los Angeles,Los Angeles,"New Haven was the location of one of Jim Morrison's infamous arrests while he fronted the rock group The Doors. The near-riotous concert and arrest in 1967 at the New Haven Arena was commemorated by Morrison in the lyrics to ""Peace Frog"" which include the line ""...blood in the streets in the town of New Haven..."" This was the first time a rock star had ever been arrested in concert.[citation needed] This event is portrayed in the movie The Doors (1991), starring Val Kilmer as Morrison, with a concert hall in Los Angeles used to depict the New Haven Arena.",0.7692379951477051,1,1.0,1759706032
What religious element could be found in all Roman households?,an altar,an altar,"Roman religious beliefs date back to the founding of Rome, around 800 BC. However, the Roman religion commonly associated with the republic and early empire did not begin until around 500 BC, when Romans came in contact with Greek culture, and adopted many of the Greek religious beliefs. Private and personal worship was an important aspect of religious practices. In a sense, each household was a temple to the gods. Each household had an altar (lararium), at which the family members would offer prayers, perform rites, and interact with the household gods. Many of the gods that Romans worshiped came from the Proto-Indo-European pantheon, others were based on Greek gods. The two most famous deities were Jupiter (the king God) and Mars (the god of war). With its cultural influence spreading over most of the Mediterranean, Romans began accepting foreign gods into their own culture, as well as other philosophical traditions such as Cynicism and Stoicism.",0.1842789649963379,1,1.0,1759706033
